Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cabo Verde,CPV,44.12,53.435,60.194,61.016,61.833,62.624,63.389,64.127,64.84,65.526,66.187,66.823
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cambodia,KHM,15.546,18.586,19.533,19.666,19.81,19.967,20.137,20.319,20.514,20.723,20.945,21.18
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cameroon,CMR,39.657,45.542,50.337,50.928,51.516,52.099,52.677,53.25,53.819,54.381,54.938,55.489
Urban population (% of total),SP.URB.TOTL.IN.ZS,Canada,CAN,76.582,79.478,80.578,80.758,80.937,81.115,81.293,81.472,81.65,81.828,82.006,82.183
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Central African Republic,CAF,36.825,37.639,38.47,38.64,38.828,39.034,39.258,39.5,39.759,40.037,40.332,40.646
Urban population (% of total),SP.URB.TOTL.IN.ZS,Chad,TCD,20.811,21.637,21.901,21.934,21.983,22.048,22.129,22.227,22.341,22.471,22.618,22.782
Urban population (% of total),SP.URB.TOTL.IN.ZS,Channel Islands,CHI,31.392,30.465,30.929,30.992,31.054,31.116,31.189,31.271,31.363,31.465,31.577,31.698
Urban population (% of total),SP.URB.TOTL.IN.ZS,Chile,CHL,83.271,86.073,88.155,88.375,88.586,88.79,88.986,89.175,89.356,89.53,89.697,89.857
Urban population (% of total),SP.URB.TOTL.IN.ZS,China,CHN,26.442,35.877,46.539,47.88,49.226,50.573,51.889,53.168,54.41,55.614,56.778,57.903
Urban population (% of total),SP.URB.TOTL.IN.ZS,Colombia,COL,68.276,72.075,74.46,74.749,75.036,75.321,75.603,75.883,76.161,76.436,76.708,76.978
Urban population (% of total),SP.URB.TOTL.IN.ZS,Comoros,COM,27.869,28.08,27.86,27.882,27.918,27.966,28.029,28.104,28.193,28.296,28.412,28.541
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Congo, Dem. Rep.",COD,30.633,35.122,38.941,39.437,39.937,40.442,40.95,41.461,41.976,42.494,43.015,43.537
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Congo, Rep.",COG,54.324,58.695,62.341,62.786,63.228,63.666,64.1,64.531,64.957,65.38,65.798,66.212
Urban population (% of total),SP.URB.TOTL.IN.ZS,Costa Rica,CRI,50.002,59.049,69.387,70.573,71.734,72.866,73.94,74.956,75.915,76.821,77.675,78.479
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cote d'Ivoire,CIV,39.345,43.541,49.034,49.8,50.557,51.305,52.041,52.766,53.479,54.18,54.869,55.545
Urban population (% of total),SP.URB.TOTL.IN.ZS,Croatia,HRV,54.039,55.587,57.048,57.287,57.537,57.8,58.074,58.359,58.656,58.964,59.284,59.613
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cuba,CUB,73.364,75.323,76.413,76.505,76.597,76.689,76.781,76.872,76.97,77.074,77.184,77.3
Urban population (% of total),SP.URB.TOTL.IN.ZS,Curacao,CUW,84.678,90.752,90.161,90.034,89.905,89.775,89.652,89.537,89.43,89.331,89.241,89.159
Urban population (% of total),SP.URB.TOTL.IN.ZS,Cyprus,CYP,66.776,68.648,67.839,67.695,67.551,67.406,67.261,67.133,67.019,66.921,66.84,66.774
Urban population (% of total),SP.URB.TOTL.IN.ZS,Czech Republic,CZE,75.22,73.988,73.394,73.324,73.255,73.185,73.115,73.06,73.019,72.992,72.98,72.983
Urban population (% of total),SP.URB.TOTL.IN.ZS,Denmark,DNK,84.843,85.1,86.487,86.654,86.795,86.957,87.142,87.324,87.502,87.676,87.847,88.015
Urban population (% of total),SP.URB.TOTL.IN.ZS,Djibouti,DJI,75.957,76.532,76.899,76.944,76.996,77.053,77.117,77.186,77.262,77.343,77.43,77.523
Urban population (% of total),SP.URB.TOTL.IN.ZS,Dominica,DMA,63.079,65.265,67.502,67.799,68.094,68.389,68.681,68.97,69.256,69.539,69.82,70.098
Urban population (% of total),SP.URB.TOTL.IN.ZS,Dominican Republic,DOM,55.226,61.746,71.297,72.541,73.752,74.929,76.039,77.082,78.061,78.98,79.841,80.647
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ecuador,ECU,55.09,60.299,62.3,62.495,62.69,62.885,63.088,63.298,63.516,63.742,63.976,64.216
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Egypt, Arab Rep.",EGY,43.478,42.797,43.058,43.039,43.019,43,43.002,43.025,43.069,43.135,43.222,43.33
Urban population (% of total),SP.URB.TOTL.IN.ZS,El Salvador,SLV,49.233,58.912,63.252,63.773,64.286,64.79,65.287,65.775,66.255,66.726,67.189,67.643
Urban population (% of total),SP.URB.TOTL.IN.ZS,Equatorial Guinea,GNQ,34.745,38.806,39.037,39.123,39.223,39.337,39.463,39.603,39.756,39.923,40.103,40.296
Urban population (% of total),SP.URB.TOTL.IN.ZS,Eritrea,ERI,15.8,17.555,19.854,20.206,20.572,20.954,..,..,..,..,..,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,Estonia,EST,71.231,69.368,68.351,68.223,68.094,67.965,67.835,67.721,67.622,67.538,67.468,67.415
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ethiopia,ETH,12.621,14.74,16.51,16.91,17.319,17.735,18.16,18.59,19.028,19.472,19.922,20.379
Urban population (% of total),SP.URB.TOTL.IN.ZS,Faroe Islands,FRO,30.594,36.337,40.536,40.731,40.926,41.122,41.323,41.53,41.743,41.962,42.187,42.417
Urban population (% of total),SP.URB.TOTL.IN.ZS,Fiji,FJI,41.611,47.908,51.051,51.44,51.828,52.214,52.596,52.976,53.354,53.728,54.099,54.468
Urban population (% of total),SP.URB.TOTL.IN.ZS,Finland,FIN,79.367,82.183,83.299,83.429,83.558,83.688,83.819,83.952,84.086,84.221,84.358,84.495
Urban population (% of total),SP.URB.TOTL.IN.ZS,France,FRA,74.056,75.871,77.864,78.106,78.345,78.584,78.82,79.055,79.289,79.52,79.75,79.978
Urban population (% of total),SP.URB.TOTL.IN.ZS,French Polynesia,PYF,57.86,56.071,56.738,56.608,56.479,56.349,56.218,56.089,55.976,55.88,55.802,55.741
Urban population (% of total),SP.URB.TOTL.IN.ZS,Gabon,GAB,69.143,80.082,84.896,85.313,85.697,86.047,86.367,86.658,86.92,87.156,87.366,87.55
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Gambia, The",GMB,38.312,47.868,54.789,55.555,56.297,57.014,57.706,58.373,59.015,59.632,60.224,60.79
Urban population (% of total),SP.URB.TOTL.IN.ZS,Georgia,GEO,55.038,52.638,52.625,52.723,52.869,53.016,53.162,53.309,53.468,53.641,53.826,54.025
Urban population (% of total),SP.URB.TOTL.IN.ZS,Germany,DEU,73.118,73.067,73.895,74.093,74.291,74.488,74.688,74.89,75.094,75.301,75.51,75.721
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ghana,GHA,36.441,43.929,49.351,50.031,50.713,51.394,52.069,52.735,53.392,54.042,54.682,55.313
Urban population (% of total),SP.URB.TOTL.IN.ZS,Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Greece,GRC,71.467,72.716,75.568,75.932,76.292,76.649,77,77.343,77.678,78.007,78.329,78.644
Urban population (% of total),SP.URB.TOTL.IN.ZS,Greenland,GRL,79.698,81.6,83.787,84.087,84.383,84.755,85.2,85.633,86.045,86.436,86.808,87.16
Urban population (% of total),SP.URB.TOTL.IN.ZS,Grenada,GRD,33.428,35.871,35.775,35.728,35.681,35.634,35.601,35.583,35.58,35.591,35.616,35.656
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guam,GUM,90.796,93.129,93.916,94.008,94.099,94.187,94.273,94.356,94.437,94.516,94.593,94.667
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guatemala,GTM,41.117,45.127,48.449,48.884,49.323,49.765,50.212,50.661,51.115,51.571,52.03,52.492
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guinea,GIN,28.026,31.017,34.005,34.426,34.856,35.297,35.748,36.209,36.68,37.161,37.651,38.15
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guinea-Bissau,GNB,28.131,36.654,43.468,44.342,45.221,46.081,46.924,47.747,48.55,49.332,50.094,50.834
Urban population (% of total),SP.URB.TOTL.IN.ZS,Guyana,GUY,29.583,28.694,28.218,28.221,28.239,28.271,28.319,28.382,28.459,28.553,28.661,28.784
Urban population (% of total),SP.URB.TOTL.IN.ZS,Haiti,HTI,28.51,35.6,48.98,50.523,52.016,53.456,54.841,56.168,57.436,58.645,59.794,60.883
Urban population (% of total),SP.URB.TOTL.IN.ZS,Honduras,HND,40.46,45.458,50.438,51.07,51.696,52.316,52.93,53.537,54.137,54.73,55.315,55.893
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Hong Kong SAR, China",HKG,99.517,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Hungary,HUN,65.838,64.575,67.87,68.366,68.859,69.348,69.832,70.306,70.771,71.227,71.672,72.108
Urban population (% of total),SP.URB.TOTL.IN.ZS,Iceland,ISL,90.75,92.401,93.395,93.511,93.624,93.734,93.84,93.942,94.042,94.137,94.23,94.319
Urban population (% of total),SP.URB.TOTL.IN.ZS,India,IND,25.547,27.667,30.246,30.587,30.93,31.276,31.631,31.994,32.366,32.747,33.136,33.535
Urban population (% of total),SP.URB.TOTL.IN.ZS,Indonesia,IDN,30.584,42.002,48.327,49.124,49.924,50.712,51.488,52.252,53.003,53.742,54.466,55.177
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Iran, Islamic Rep.",IRN,56.33,64.042,69.458,70.045,70.626,71.2,71.769,72.32,72.855,73.375,73.879,74.368
Urban population (% of total),SP.URB.TOTL.IN.ZS,Iraq,IRQ,69.706,68.496,68.927,68.98,69.034,69.098,69.175,69.262,69.361,69.471,69.592,69.723
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ireland,IRL,56.906,59.146,61.298,61.569,61.84,62.111,62.386,62.667,62.952,63.241,63.535,63.834
Urban population (% of total),SP.URB.TOTL.IN.ZS,Isle of Man,IMN,51.746,51.823,51.958,51.976,51.994,52.012,52.042,52.084,52.138,52.203,52.281,52.371
Urban population (% of total),SP.URB.TOTL.IN.ZS,Israel,ISR,90.359,91.203,91.702,91.763,91.824,91.886,91.949,92.012,92.076,92.14,92.205,92.27
Urban population (% of total),SP.URB.TOTL.IN.ZS,Italy,ITA,66.726,67.222,68.092,68.209,68.327,68.444,68.56,68.686,68.821,68.964,69.116,69.277
Urban population (% of total),SP.URB.TOTL.IN.ZS,Jamaica,JAM,49.444,51.814,53.371,53.557,53.743,53.93,54.127,54.336,54.556,54.788,55.03,55.283
Urban population (% of total),SP.URB.TOTL.IN.ZS,Japan,JPN,77.339,78.649,88.909,89.743,90.522,91.248,91.902,92.491,93.021,93.498,93.928,94.316
Urban population (% of total),SP.URB.TOTL.IN.ZS,Jordan,JOR,73.291,79.808,81.964,82.22,82.473,82.724,82.97,83.211,83.447,83.679,83.905,84.127
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kazakhstan,KAZ,56.266,55.729,54.111,53.908,53.732,53.581,53.458,53.361,53.29,53.247,53.229,53.239
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kenya,KEN,16.748,19.892,22.8,23.183,23.571,23.967,24.37,24.78,25.197,25.622,26.055,26.494
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kiribati,KIR,34.987,42.958,43.647,43.704,43.773,43.855,43.948,44.055,44.173,44.304,44.447,44.603
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Korea, Dem. People’s Rep.",PRK,58.384,59.412,60.04,60.118,60.21,60.316,60.436,60.569,60.715,60.875,61.048,61.235
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Korea, Rep.",KOR,73.844,79.621,81.733,81.835,81.936,82.037,82.141,82.249,82.36,82.474,82.592,82.712
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kuwait,KWT,97.974,98.113,98.232,98.248,98.263,98.279,98.294,98.31,98.326,98.342,98.358,98.374
Urban population (% of total),SP.URB.TOTL.IN.ZS,Kyrgyz Republic,KGZ,37.777,35.298,35.285,35.284,35.303,35.342,35.403,35.483,35.585,35.707,35.85,36.014
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lao PDR,LAO,15.437,21.977,30.839,31.985,33.123,34.252,35.368,36.469,37.551,38.614,39.654,40.669
Urban population (% of total),SP.URB.TOTL.IN.ZS,Latvia,LVA,69.25,68.067,67.834,67.764,67.692,67.62,67.548,67.476,67.421,67.382,67.361,67.357
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lebanon,LBN,83.12,86,86.942,87.062,87.183,87.304,87.426,87.548,87.67,87.792,87.914,88.037
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lesotho,LSO,13.967,19.548,23.774,24.259,24.753,25.253,25.76,26.271,26.789,27.312,27.84,28.372
Urban population (% of total),SP.URB.TOTL.IN.ZS,Liberia,LBR,55.422,44.331,47.088,47.441,47.801,48.168,48.541,48.921,49.308,49.701,50.1,50.505
Urban population (% of total),SP.URB.TOTL.IN.ZS,Libya,LBY,75.723,76.346,77.324,77.479,77.642,77.812,77.988,78.17,78.359,78.554,78.754,78.961
Urban population (% of total),SP.URB.TOTL.IN.ZS,Liechtenstein,LIE,16.928,15.13,14.574,14.519,14.464,14.41,14.365,14.33,14.305,14.289,14.283,14.286
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lithuania,LTU,67.583,66.986,66.848,66.842,66.757,66.672,66.604,66.554,66.522,66.508,66.512,66.533
Urban population (% of total),SP.URB.TOTL.IN.ZS,Luxembourg,LUX,80.947,84.216,87.8,88.178,88.547,88.906,89.247,89.568,89.872,90.16,90.432,90.689
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Macao SAR, China",MAC,99.763,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Macedonia, FYR",MKD,57.789,58.548,57.129,57.047,56.992,56.962,56.959,56.981,57.029,57.104,57.204,57.329
Urban population (% of total),SP.URB.TOTL.IN.ZS,Madagascar,MDG,23.566,27.121,30.67,31.298,31.929,32.562,33.196,33.832,34.468,35.105,35.741,36.376
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malawi,MWI,11.56,14.61,15.326,15.427,15.54,15.663,15.798,15.944,16.102,16.272,16.454,16.648
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malaysia,MYS,49.794,61.977,69.225,70.075,70.912,71.735,72.526,73.284,74.01,74.705,75.37,76.006
Urban population (% of total),SP.URB.TOTL.IN.ZS,Maldives,MDV,25.84,27.706,37.553,38.781,39.984,41.159,42.303,43.416,44.494,45.536,46.54,47.505
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mali,MLI,23.322,28.356,34.403,35.2,35.996,36.789,37.579,38.363,39.143,39.916,40.683,41.441
Urban population (% of total),SP.URB.TOTL.IN.ZS,Malta,MLT,90.381,92.368,94.295,94.486,94.665,94.833,94.991,95.139,95.277,95.407,95.529,95.644
Urban population (% of total),SP.URB.TOTL.IN.ZS,Marshall Islands,MHL,65.054,68.358,70.778,71.062,71.343,71.619,71.891,72.159,72.424,72.684,72.94,73.192
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mauritania,MRT,41.325,49.244,55.303,56,56.682,57.348,58,58.636,59.255,59.859,60.446,61.017
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mauritius,MUS,43.9,42.67,40.995,40.787,40.579,40.372,40.164,39.979,39.814,39.671,39.548,39.447
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mexico,MEX,71.419,74.722,77.227,77.527,77.825,78.118,78.407,78.691,78.971,79.246,79.517,79.784
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Micronesia, Fed. Sts.",FSM,25.818,22.33,22.311,22.305,22.298,22.303,22.317,22.342,22.378,22.424,22.481,22.548
Urban population (% of total),SP.URB.TOTL.IN.ZS,Moldova,MDA,46.762,45.803,45.011,44.936,44.886,44.859,44.857,44.879,44.925,44.995,45.089,45.208
Urban population (% of total),SP.URB.TOTL.IN.ZS,Monaco,MCO,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mongolia,MNG,57.033,57.133,65.581,66.58,67.567,68.538,69.472,70.366,71.222,72.04,72.823,73.57
Urban population (% of total),SP.URB.TOTL.IN.ZS,Montenegro,MNE,48.037,58.544,62.739,62.918,63.096,63.274,63.457,63.643,63.832,64.026,64.223,64.424
Urban population (% of total),SP.URB.TOTL.IN.ZS,Morocco,MAR,48.391,53.335,56.665,57.175,57.684,58.191,58.697,59.2,59.699,60.195,60.685,61.172
Urban population (% of total),SP.URB.TOTL.IN.ZS,Mozambique,MOZ,25,29.098,30.548,30.745,30.955,31.179,31.417,31.669,31.934,32.214,32.508,32.816
Urban population (% of total),SP.URB.TOTL.IN.ZS,Myanmar,MMR,24.57,26.968,30.363,30.881,31.405,31.935,32.469,33.007,33.551,34.098,34.65,35.206
Urban population (% of total),SP.URB.TOTL.IN.ZS,Namibia,NAM,27.656,32.373,39.597,40.601,41.616,42.637,43.666,44.679,45.678,46.66,47.625,48.571
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nauru,NRU,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nepal,NPL,8.854,13.431,16.15,16.483,16.822,17.166,17.518,17.877,18.243,18.615,18.995,19.383
Urban population (% of total),SP.URB.TOTL.IN.ZS,Netherlands,NLD,68.684,76.795,85.402,86.242,87.061,87.837,88.575,89.271,89.91,90.496,91.032,91.524
Urban population (% of total),SP.URB.TOTL.IN.ZS,New Caledonia,NCL,59.537,61.78,65.969,66.624,67.273,67.901,68.509,69.096,69.663,70.21,70.738,71.246
Urban population (% of total),SP.URB.TOTL.IN.ZS,New Zealand,NZL,84.742,85.677,86.13,86.148,86.165,86.183,86.2,86.223,86.251,86.284,86.322,86.365
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nicaragua,NIC,52.337,54.737,56.701,56.974,57.255,57.544,57.841,58.146,58.459,58.779,59.107,59.441
Urban population (% of total),SP.URB.TOTL.IN.ZS,Niger,NER,15.368,16.186,17.185,17.366,17.559,17.766,17.986,18.22,18.469,18.732,19.01,19.303
Urban population (% of total),SP.URB.TOTL.IN.ZS,Nigeria,NGA,29.68,34.84,41.702,42.588,43.48,44.362,45.234,46.094,46.942,47.776,48.597,49.403
Urban population (% of total),SP.URB.TOTL.IN.ZS,Northern Mariana Islands,MNP,89.731,90.116,89.605,89.539,89.474,89.414,89.36,89.313,89.272,89.237,89.209,89.187
Urban population (% of total),SP.URB.TOTL.IN.ZS,Norway,NOR,71.956,76.081,78.526,78.815,79.102,79.385,79.665,79.939,80.208,80.473,80.734,80.99
Urban population (% of total),SP.URB.TOTL.IN.ZS,Oman,OMN,66.102,71.569,74.08,74.624,75.161,75.691,76.204,76.699,77.178,77.641,78.088,78.519
Urban population (% of total),SP.URB.TOTL.IN.ZS,Pakistan,PAK,30.576,33.155,35.816,36.201,36.598,37.007,37.428,37.86,38.303,38.758,39.224,39.7
Urban population (% of total),SP.URB.TOTL.IN.ZS,Palau,PLW,69.593,69.963,81.367,82.404,83.358,84.234,85.039,85.776,86.452,87.071,87.636,88.151
Urban population (% of total),SP.URB.TOTL.IN.ZS,Panama,PAN,53.903,62.198,64.54,64.828,65.115,65.405,65.698,65.994,66.292,66.592,66.895,67.2
Urban population (% of total),SP.URB.TOTL.IN.ZS,Papua New Guinea,PNG,14.994,13.204,13.055,13.037,13.019,13,12.982,12.977,12.985,13.005,13.039,13.085
Urban population (% of total),SP.URB.TOTL.IN.ZS,Paraguay,PRY,48.694,55.331,58.034,58.26,58.487,58.714,58.94,59.174,59.416,59.666,59.924,60.19
Urban population (% of total),SP.URB.TOTL.IN.ZS,Peru,PER,68.901,73.042,76.182,76.552,76.915,77.269,77.616,77.954,78.285,78.609,78.924,79.233
Urban population (% of total),SP.URB.TOTL.IN.ZS,Philippines,PHL,48.59,47.955,45.793,45.524,45.255,45.017,44.81,44.633,44.488,44.373,44.289,44.235
Urban population (% of total),SP.URB.TOTL.IN.ZS,Poland,POL,61.27,61.716,61.116,61.004,60.892,60.78,60.688,60.617,60.568,60.539,60.531,60.545
Urban population (% of total),SP.URB.TOTL.IN.ZS,Portugal,PRT,47.915,54.399,59.359,59.964,60.567,61.167,61.758,62.338,62.908,63.468,64.017,64.556
Urban population (% of total),SP.URB.TOTL.IN.ZS,Puerto Rico,PRI,92.942,94.387,93.942,93.884,93.825,93.771,93.722,93.676,93.636,93.6,93.569,93.543
Urban population (% of total),SP.URB.TOTL.IN.ZS,Qatar,QAT,92.786,96.311,98.261,98.47,98.655,98.812,98.946,99.061,99.159,99.244,99.317,99.381
Urban population (% of total),SP.URB.TOTL.IN.ZS,Romania,ROU,53.217,53.004,53.567,53.698,53.829,53.96,54.091,54.235,54.393,54.564,54.749,54.947
Urban population (% of total),SP.URB.TOTL.IN.ZS,Russian Federation,RUS,73.394,73.35,73.598,73.642,73.687,73.732,73.786,73.851,73.924,74.008,74.101,74.203
Urban population (% of total),SP.URB.TOTL.IN.ZS,Rwanda,RWA,5.416,14.926,22.033,22.988,23.952,24.922,25.894,26.869,27.841,28.811,29.775,30.731
Urban population (% of total),SP.URB.TOTL.IN.ZS,Samoa,WSM,21.2,21.977,20.524,20.3,20.078,19.857,19.639,19.44,19.26,19.098,18.955,18.83
